,Date,FG Value,rating,put_call_options,stock_price_strength,stock_price_breadth,market_volatility_vix,market_volatility_vix_50,junk_bond_demand,safe_haven_demand,market_momentum_sp500,market_momentum_sp125
155,2021-05-04 02:00:00,43.46666666666667,fear,0.6050570201138076,9.558632858663627,1548.2731061151987,19.48,20.1442,1.9601000000000004,1.582824114924721,4164.66,3840.77256
156,2021-05-05 02:00:00,43.03333333333333,fear,0.6188560377792985,9.648523616572241,1553.0454328622166,19.15,20.065,1.9718,1.3454022849073664,4167.59,3847.16
157,2021-05-06 02:00:00,43.93333333333334,fear,0.6366155377219753,9.828338434556462,1566.7837522512257,18.39,20.006,1.9716,1.1251255358800931,4201.62,3853.22544
158,2021-05-07 02:00:00,48.166666666666664,neutral,0.6212289292326517,10.172189004471974,1603.5401853879475,16.69,19.761999999999997,1.9731999999999996,1.7241037342665695,4232.6,3859.0026399999997
159,2021-05-10 02:00:00,44.93333333333334,fear,0.6363773621376325,10.657663818788478,1616.2261754778915,19.66,19.5962,1.9689,1.04773517994583,4188.43,3864.4345599999997
160,2021-05-11 02:00:00,42.03333333333334,fear,0.6398393586940918,10.450509544324897,1607.7869567978184,21.84,19.566,1.9574000000000005,0.5241528710206422,4152.1,3869.24736
161,2021-05-12 02:00:00,26.766666666666666,fear,0.6859834459196776,9.95468068591136,1560.7413020658182,27.59,19.6358,1.9617,-1.5586696739206518,4063.04,3873.38744
162,2021-05-13 02:00:00,34.433333333333344,fear,0.7043319090224094,9.364157243521705,1531.6384375407697,23.13,19.565,1.9573,-1.3489439895484647,4112.5,3877.70616
163,2021-05-14 02:00:00,35.99999999999999,fear,0.7141632078786833,8.80904368359223,1541.9079646091825,18.81,19.3698,1.9631,0.33658500472492875,4173.85,3882.8008800000002
164,2021-05-17 02:00:00,36.36666666666667,fear,0.7035098597525546,8.709843683728986,1561.6004409335858,19.72,19.271,1.9685,1.2224113473507003,4163.29,3887.426
